aspiration,body-style,bore,city-mpg,compression-ratio,curb-weight,drive-wheels,engine-location,engine-size,engine-type,fuel-system,fuel-type,height,highway-mpg,horsepower,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,price,stroke,symboling,wheel-base,width
std,wagon,3.05,31,9.0,2280,fwd,front,92,ohc,2bbl,gas,59.1,37,62.0,169.7,toyota,77.0,four,four,4800.0,6918.0,3.03,0,95.7,63.6
std,wagon,3.05,27,9.0,2290,4wd,front,92,ohc,2bbl,gas,59.1,32,62.0,169.7,toyota,81.0,four,four,4800.0,7898.0,3.03,0,95.7,63.6
std,wagon,3.05,27,9.0,3110,4wd,front,92,ohc,2bbl,gas,59.1,32,62.0,169.7,toyota,91.0,four,four,4800.0,8778.0,3.03,0,95.7,63.6
std,sedan,3.19,30,9.0,2081,fwd,front,98,ohc,2bbl,gas,53.0,37,70.0,166.3,toyota,91.0,four,four,4800.0,6938.0,3.03,0,95.7,64.4
std,hatchback,3.19,30,9.0,2109,fwd,front,98,ohc,2bbl,gas,52.8,37,70.0,166.3,toyota,91.0,four,four,4800.0,7198.0,3.03,0,95.7,64.4
std,sedan,3.27,34,22.5,2275,fwd,front,110,ohc,idi,diesel,53.0,36,56.0,166.3,toyota,91.0,four,four,4500.0,7898.0,3.35,0,95.7,64.4
std,hatchback,3.27,38,22.5,2275,fwd,front,110,ohc,idi,diesel,52.8,47,56.0,166.3,toyota,91.0,four,four,4500.0,7788.0,3.35,0,95.7,64.4
std,sedan,3.19,38,9.0,2094,fwd,front,98,ohc,2bbl,gas,53.0,47,70.0,166.3,toyota,91.0,four,four,4800.0,7738.0,3.03,0,95.7,64.4
std,hatchback,3.19,28,9.0,2122,fwd,front,98,ohc,2bbl,gas,52.8,34,70.0,166.3,toyota,91.0,four,four,4800.0,8358.0,3.03,0,95.7,64.4
std,sedan,3.19,28,9.0,2140,fwd,front,98,ohc,2bbl,gas,52.8,34,70.0,166.3,toyota,91.0,four,four,4800.0,9258.0,3.03,0,95.7,64.4
std,sedan,3.19,29,9.0,2169,rwd,front,98,ohc,2bbl,gas,52.6,34,70.0,168.7,toyota,168.0,four,two,4800.0,8058.0,3.03,1,94.5,64.0
std,hatchback,3.19,29,9.0,2204,rwd,front,98,ohc,2bbl,gas,52.6,34,70.0,168.7,toyota,168.0,four,two,4800.0,8238.0,3.03,1,94.5,64.0
std,sedan,3.24,26,9.4,2265,rwd,front,98,dohc,mpfi,gas,52.6,29,112.0,168.7,toyota,168.0,four,two,6600.0,9298.0,3.08,1,94.5,64.0
std,hatchback,3.24,26,9.4,2300,rwd,front,98,dohc,mpfi,gas,52.6,29,112.0,168.7,toyota,168.0,four,two,6600.0,9538.0,3.08,1,94.5,64.0
std,hardtop,3.62,24,9.3,2540,rwd,front,146,ohc,mpfi,gas,52.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,8449.0,3.5,2,98.4,65.6
std,hardtop,3.62,24,9.3,2536,rwd,front,146,ohc,mpfi,gas,52.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,9639.0,3.5,2,98.4,65.6
std,hatchback,3.62,24,9.3,2551,rwd,front,146,ohc,mpfi,gas,52.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,9989.0,3.5,2,98.4,65.6
std,hardtop,3.62,24,9.3,2679,rwd,front,146,ohc,mpfi,gas,52.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,11199.0,3.5,2,98.4,65.6
std,hatchback,3.62,24,9.3,2714,rwd,front,146,ohc,mpfi,gas,52.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,11549.0,3.5,2,98.4,65.6
std,convertible,3.62,24,9.3,2975,rwd,front,146,ohc,mpfi,gas,53.0,30,116.0,176.2,toyota,134.0,four,two,4800.0,17669.0,3.5,2,98.4,65.6
std,sedan,3.31,29,8.7,2326,fwd,front,122,ohc,mpfi,gas,54.9,34,92.0,175.6,toyota,65.0,four,four,4200.0,8948.0,3.54,-1,102.4,66.5
turbo,sedan,3.27,30,22.5,2480,fwd,front,110,ohc,idi,diesel,54.9,33,73.0,175.6,toyota,65.0,four,four,4500.0,10698.0,3.35,-1,102.4,66.5
std,hatchback,3.31,27,8.7,2414,fwd,front,122,ohc,mpfi,gas,53.9,32,92.0,175.6,toyota,65.0,four,four,4200.0,9988.0,3.54,-1,102.4,66.5
std,sedan,3.31,27,8.7,2414,fwd,front,122,ohc,mpfi,gas,54.9,32,92.0,175.6,toyota,65.0,four,four,4200.0,10898.0,3.54,-1,102.4,66.5
std,hatchback,3.31,27,8.7,2458,fwd,front,122,ohc,mpfi,gas,53.9,32,92.0,175.6,toyota,65.0,four,four,4200.0,11248.0,3.54,-1,102.4,66.5
std,hatchback,3.27,20,9.3,2976,rwd,front,171,dohc,mpfi,gas,52.0,24,161.0,183.5,toyota,197.0,six,two,5200.0,16558.0,3.35,3,102.9,67.7
std,hatchback,3.27,19,9.3,3016,rwd,front,171,dohc,mpfi,gas,52.0,24,161.0,183.5,toyota,197.0,six,two,5200.0,15998.0,3.35,3,102.9,67.7
std,sedan,3.27,20,9.2,3131,rwd,front,171,dohc,mpfi,gas,54.1,24,156.0,187.8,toyota,90.0,six,four,5200.0,15690.0,3.35,-1,104.5,66.5
std,wagon,3.27,19,9.2,3151,rwd,front,161,dohc,mpfi,gas,54.1,24,156.0,187.8,toyota,,six,four,5200.0,15750.0,3.35,-1,104.5,66.5
std,sedan,3.01,37,23.0,2261,fwd,front,97,ohc,idi,diesel,55.7,46,52.0,171.7,volkswagen,122.0,four,two,4800.0,7775.0,3.4,2,97.3,65.5
std,sedan,3.19,27,9.0,2209,fwd,front,109,ohc,mpfi,gas,55.7,34,85.0,171.7,volkswagen,122.0,four,two,5250.0,7975.0,3.4,2,97.3,65.5
std,sedan,3.01,37,23.0,2264,fwd,front,97,ohc,idi,diesel,55.7,46,52.0,171.7,volkswagen,94.0,four,four,4800.0,7995.0,3.4,2,97.3,65.5
std,sedan,3.19,27,9.0,2212,fwd,front,109,ohc,mpfi,gas,55.7,34,85.0,171.7,volkswagen,94.0,four,four,5250.0,8195.0,3.4,2,97.3,65.5
std,sedan,3.19,27,9.0,2275,fwd,front,109,ohc,mpfi,gas,55.7,34,85.0,171.7,volkswagen,94.0,four,four,5250.0,8495.0,3.4,2,97.3,65.5
turbo,sedan,3.01,37,23.0,2319,fwd,front,97,ohc,idi,diesel,55.7,42,68.0,171.7,volkswagen,94.0,four,four,4500.0,9495.0,3.4,2,97.3,65.5
std,sedan,3.19,26,10.0,2300,fwd,front,109,ohc,mpfi,gas,55.7,32,100.0,171.7,volkswagen,94.0,four,four,5500.0,9995.0,3.4,2,97.3,65.5
std,convertible,3.19,24,8.5,2254,fwd,front,109,ohc,mpfi,gas,55.6,29,90.0,159.3,volkswagen,,four,two,5500.0,11595.0,3.4,3,94.5,64.2
std,hatchback,3.19,24,8.5,2221,fwd,front,109,ohc,mpfi,gas,51.4,29,90.0,165.7,volkswagen,256.0,four,two,5500.0,9980.0,3.4,3,94.5,64.0
std,sedan,3.19,19,8.5,2661,fwd,front,136,ohc,mpfi,gas,55.1,24,110.0,180.2,volkswagen,,five,four,5500.0,13295.0,3.4,0,100.4,66.9
turbo,sedan,3.01,33,23.0,2579,fwd,front,97,ohc,idi,diesel,55.1,38,68.0,180.2,volkswagen,,four,four,4500.0,13845.0,3.4,0,100.4,66.9
std,wagon,3.19,25,9.0,2563,fwd,front,109,ohc,mpfi,gas,55.1,31,88.0,183.1,volkswagen,,four,four,5500.0,12290.0,3.4,0,100.4,66.9
std,sedan,3.7800000000000002,23,9.5,2912,rwd,front,141,ohc,mpfi,gas,56.2,28,114.0,188.8,volvo,103.0,four,four,5400.0,12940.0,3.15,-2,104.3,67.2
std,wagon,3.7800000000000002,23,9.5,3034,rwd,front,141,ohc,mpfi,gas,57.5,28,114.0,188.8,volvo,74.0,four,four,5400.0,13415.0,3.15,-1,104.3,67.2
std,sedan,3.7800000000000002,24,9.5,2935,rwd,front,141,ohc,mpfi,gas,56.2,28,114.0,188.8,volvo,103.0,four,four,5400.0,15985.0,3.15,-2,104.3,67.2
std,wagon,3.7800000000000002,24,9.5,3042,rwd,front,141,ohc,mpfi,gas,57.5,28,114.0,188.8,volvo,74.0,four,four,5400.0,16515.0,3.15,-1,104.3,67.2
turbo,sedan,3.62,17,7.5,3045,rwd,front,130,ohc,mpfi,gas,56.2,22,162.0,188.8,volvo,103.0,four,four,5100.0,18420.0,3.15,-2,104.3,67.2
turbo,wagon,3.62,17,7.5,3157,rwd,front,130,ohc,mpfi,gas,57.5,22,162.0,188.8,volvo,74.0,four,four,5100.0,18950.0,3.15,-1,104.3,67.2
std,sedan,3.7800000000000002,23,9.5,2952,rwd,front,141,ohc,mpfi,gas,55.5,28,114.0,188.8,volvo,95.0,four,four,5400.0,16845.0,3.15,-1,109.1,68.9
turbo,sedan,3.7800000000000002,19,8.7,3049,rwd,front,141,ohc,mpfi,gas,55.5,25,160.0,188.8,volvo,95.0,four,four,5300.0,19045.0,3.15,-1,109.1,68.8
std,sedan,3.58,18,8.8,3012,rwd,front,173,ohcv,mpfi,gas,55.5,23,134.0,188.8,volvo,95.0,six,four,5500.0,21485.0,2.87,-1,109.1,68.9
turbo,sedan,3.01,26,23.0,3217,rwd,front,145,ohc,idi,diesel,55.5,27,106.0,188.8,volvo,95.0,six,four,4800.0,22470.0,3.4,-1,109.1,68.9
turbo,sedan,3.7800000000000002,19,9.5,3062,rwd,front,141,ohc,mpfi,gas,55.5,25,114.0,188.8,volvo,95.0,four,four,5400.0,22625.0,3.15,-1,109.1,68.9
